,Adj Close,Adj Close,Adj Close,Adj Close,Close,Close,Close,Close,High,High,High,High,Low,Low,Low,Low,Open,Open,Open,Open,Volume,Volume,Volume,Volume
,AAPL,AMZN,MSFT,NFLX,AAPL,AMZN,MSFT,NFLX,AAPL,AMZN,MSFT,NFLX,AAPL,AMZN,MSFT,NFLX,AAPL,AMZN,MSFT,NFLX,AAPL,AMZN,MSFT,NFLX
Date,,,,,,,,,,,,,,,,,,,,,,,,
2015-03-30,28.55005645751953,18.72949981689453,36.105159759521484,60.36714172363281,31.592500686645508,18.72949981689453,40.959999084472656,60.36714172363281,31.600000381469727,18.805999755859375,41.540000915527344,60.56428527832031,31.0,18.577499389648438,40.90999984741211,59.36428451538086,31.012500762939453,18.5935001373291,41.099998474121094,59.71571350097656,188398800,36418000,35049700,13272700
2015-03-31,28.11176300048828,18.604999542236328,35.840702056884766,59.52714157104492,31.107500076293945,18.604999542236328,40.65999984741211,59.52714157104492,31.622499465942383,18.885000228881836,41.029998779296875,60.41999816894531,31.09000015258789,18.57550048828125,40.540000915527344,59.45571517944336,31.522499084472656,18.66200065612793,40.779998779296875,60.11000061035156,168362400,50122000,34887200,14248500
2015-04-01,28.071096420288086,18.51300048828125,35.893592834472656,59.01714324951172,31.0625,18.51300048828125,40.720001220703125,59.01714324951172,31.280000686645508,18.658000946044922,40.7599983215332,59.78571319580078,30.774999618530273,18.41699981689453,40.310001373291016,58.702857971191406,31.204999923706055,18.604999542236328,40.599998474121094,59.64285659790039,162485600,49162000,36865300,14639800
2015-04-02,28.312833786010742,18.612499237060547,35.514556884765625,59.1542854309082,31.329999923706055,18.612499237060547,40.290000915527344,59.1542854309082,31.389999389648438,18.663999557495117,40.7400016784668,59.60714340209961,31.047500610351562,18.450000762939453,40.119998931884766,58.861427307128906,31.25749969482422,18.524999618530273,40.65999984741211,59.07143020629883,128880400,37506000,37487500,9864400
2015-04-06,28.77146339416504,18.851999282836914,36.62521743774414,60.33000183105469,31.837499618530273,18.851999282836914,41.54999923706055,60.33000183105469,31.877500534057617,19.010000228881836,41.779998779296875,60.4471435546875,31.082500457763672,18.468000411987305,40.18000030517578,58.46428680419922,31.11750030517578,18.5049991607666,40.34000015258789,58.76856994628906,148776000,61014000,39223700,10730300
2015-04-07,28.468727111816406,18.720500946044922,36.60759353637695,60.494285583496094,31.502500534057617,18.720500946044922,41.529998779296875,60.494285583496094,32.029998779296875,18.965499877929688,41.90999984741211,60.84857177734375,31.4950008392334,18.701499938964844,41.310001373291016,60.0428581237793,31.90999984741211,18.8075008392334,41.61000061035156,60.49714279174805,140049200,39098000,28809400,9977100
2015-04-08,28.376089096069336,19.059999465942383,36.5106315612793,63.04999923706055,31.399999618530273,19.059999465942383,41.41999816894531,63.04999923706055,31.600000381469727,19.07900047302246,41.689998626708984,63.10714340209961,31.24250030517578,18.732500076293945,41.040000915527344,61.18428421020508,31.462499618530273,18.732999801635742,41.459999084472656,61.2014274597168,149316800,52728000,24753400,22327900
2015-04-09,28.59297752380371,19.177000045776367,36.56352233886719,62.78571319580078,31.639999389648438,19.177000045776367,41.47999954223633,62.78571319580078,31.645000457763672,19.22100067138672,41.619998931884766,63.13571548461914,31.165000915527344,18.940000534057617,41.25,62.11428451538086,31.462499618530273,19.033000946044922,41.25,63.0,129936000,47846000,25723900,13455400
2015-04-10,28.714977264404297,19.13249969482422,36.77506637573242,64.93856811523438,31.774999618530273,19.13249969482422,41.720001220703125,64.93856811523438,31.802499771118164,19.356000900268555,41.95000076293945,64.99571228027344,31.315000534057617,19.06599998474121,41.40999984741211,63.9471435546875,31.487499237060547,19.215499877929688,41.630001068115234,64.39714050292969,160752000,51470000,28022000,22367100
2015-04-13,28.65849494934082,19.118000030517578,36.810325622558594,67.81143188476562,31.712499618530273,19.118000030517578,41.7599983215332,67.81143188476562,32.14250183105469,19.263999938964844,42.060001373291016,69.28571319580078,31.65250015258789,19.006999969482422,41.38999938964844,67.05714416503906,32.092498779296875,19.17650032043457,41.400001525878906,67.23999786376953,145460400,37890000,30276700,44436700
2015-04-14,28.534236907958984,19.25550079345703,36.7133674621582,68.38714599609375,31.575000762939453,19.25550079345703,41.650001525878906,68.38714599609375,31.822500228881836,19.390499114990234,42.029998779296875,69.14286041259766,31.477500915527344,19.06049919128418,41.38999938964844,67.42143249511719,31.75,19.175500869750977,41.79999923706055,68.85713958740234,102098400,51672000,24244400,28641900
